userid,age,gender,ope,con,ext,agr,neu,text
00296b8d69cf11d0ab2ffd2fff8890d0,-,-,-,-,-,-,-,"Best night out ever with Dondre, Shauna and Jake (the birthday boy)!"
002bd167b2d1d54e6c2012c071561e15,-,-,-,-,-,-,-,"Created a new Facebook. Other one-personal issues with ******'s.,There's a tranny in disguise.,I wanna be a surgeon. :D,just watched Paranormal Activity. D:,Hella hyper .. again .,Brown Eyed Girls~ :D,SHIT. Damn computer is spamming everything I send to people. Sorry if you get spams. ._.,I wanna speak Russian. Their accents are sexyyy.,Stop hitting me with those damn pillows!! -.-,Yay for procrastination!,Boo for jetlag :(,What's worse than a baby nailed to a tree? :),When I grow up, I'm going to be a surgeon or professor of linguistics(=,Wants to be fluent in Russian, Mandarin, French, Japanese, Korean, German, Latin, and Arabic. :(,Asian Pears are so yummy and juicy.,My throat hurts, I was eating and shoved the fork down too much.,Doing poster that was  assigned to us about 5[?] weeks ago and due tomorrow. Just started yesterday. :),YES, my Brown Eyed Girls and After School album came today~!!! Made my day.,Love the rain, hate the wind.,I have to eat slow cause I bit my tongue .. *tear.,Bit my tongue from "
007bc3a21506a35bc885a41b60206a43,-,-,-,-,-,-,-,"BVMMA Submission Grappling Tournament in College Station this Saturday.  Making the move up to the 170lb division!,EFC at Maggie Mae's TONIGHT,Procrastinators: Leaders of tomorrow,King of Kombat tonight!  My man Randy Vera to win by KO.,FREEBIRDS is BUY ONE GET ONE FREE anything you want TODAY if you mention Facebook or Twitter!  Burrito Time!,now trains at CTC Austin as of today!  BVMMA submission grappling tournament at Aerofit in College Station Saturday at 10am.,just got 3rd place at the BVMMA Submission Grappling tournament!,Pat Miletich seminar was excellent!  MMA striking  fundamentals, countering strikes with strikes or kicking, kick defense, takedowns, takedown defense, blending striking with takedowns, muay thai clinch, submissions against wrestlers, triangle series, guard passing, and ground and pound.,Last first day of school,got a raise before his job even started.,311,is 168.6 lbs and growing!,Polyphasic sleep - Day 1,just crossed the 170 lbs mark for the first time since I began gaining weight "
007fe9ae4271ccede72d7b98ea4ebf0f,-,-,-,-,-,-,-,"Facebook is fun :),I just got chat up by an american guy that i don't know. It didn't work out.,Do you reckon there are clueless poeple wondering around thinking Robert Patterson's a Vampire and Kristen Stewart is really a bear?,Screw red roses, I want my pancacke!!,Listening to Kerang at 8.37 in morning is AWESOME!! Wakes you up tho lol.,Birthdays are fun!!,On urbun dictionary... looked up my surname... not good. :S,After P.E today, I wouldn't be surprised if we all died.,Who wants to go see Alice in Wonderland?,Soo ill :(,is addicted to Glee's Gold Digger.,Just done the history. First question was a piss take, right?,Vampire Diaries is shit. The only good part is Damon with no top on.,I'm alive :O,I lost the game.,LOL at that guy that wears a hat on that dance thing. He opens his mouth and 5,000 people boo.,I just called guys a species. No regrets there, guys are strange creatures :),I still believe it's you and me til the end of time!,wondered whether one day her old teachers might say \I used to teach her"
00a8c78bf3b041353007c34095ec7157,-,-,-,-,-,-,-,"pozdrav iz Sindze...lepo ali dosadno,I'm here and it's hoooot. so if you envy me, pls do so...hehe...I still love you all....you freezed little monkeys,so little time....,It's f...ing hot here, but I'm gonna have great weekend...David, wellcome 2 BGD,EH AH UH,hello Sydney...I hate u %#@&*^,depression has finally kicked in...jeezzz,back to earth today,fuc.ing jett lag,ok...all is well and I am really really happy and content :))) pizza for everyone!!!,e, jbg,Voja has graduated 2day...but no funny hats,I was never overly interested in the past and I have no time for the future...I just wanna live a little right now...,I wish I was in Pakistan...or India or wherever...but here,hot hot hot,I have a mouse living in my kitchen and it scares me to death...Ida may I borrow Kiki for a day or two, 'cause my dogs are hopeless,men without balls is, well, a girl,nothing to report :(,voya's first HSC today!!!,every musscle in my body aches...f...ing gym,good morning people...and dogs...and Kiki,Woke up in sci-fi world this"
00c23db9e55e6b106dc41d53dc484571,-,-,-,-,-,-,-,"PSAT. have to be college ready. do we take our things.?,Six Flags on Saturday. its gonna be so awesome. lol,why they say you mean on some real ish yur 1 of the realest females in this fake ass world.,watchin 106 & Park.,Cookn for tha fam. ;),forgot about spirit week. smh.,thinking of blocking someone. just tired of this ish. \
:`(,damn cant sleep. >.<,there is only one person i love more than you. me. there is only one person i love more than me. God. :),I love you tkayy ! -kanethia,I wish i never fell so deep in love with you and now there aint no way we can be friends ~Trey Songz~,its christmas eve. <3,my ex asked me why i always do that, walk away. well thats wat im good walking away. i walk away from the pain. advice dont ask me why just tell me not to go or say you'll walk with me. <3,back in the day i used to be his wifey type bhud now im road side homicide i did wrong ma bhud thats alright cause ima rep my hood till tha day i die.-\
 now who thinks i stole this from som1.?,'walk around tha club f.ck er"""
00e12287950abc2ad164e3bd3a3cc762,-,-,-,-,-,-,-,"i've got back.,the weather was bad. and i lost my temper. need to be more patient.,studying...no matter how boring and pointless.,I feel some space inside. Need to try harder!,already got back from malaysia. wanna join next apdsa in japan.,dream on. dream on till your dream come true.,a journey of life.,why can't i log in to university's blackboard..........anybody help it keep saying ........there's a problem while getting access to the site......sigh,a bit tired. need more time for trivial nonsense stuff. anyway, let's keep going.,so tired with trying to head home on LOYKRATONG festival's day......what a chaos,fast set alginate is ROCK! really exciting try to take impression from dentoform in 2 mins.,keep going on japanese.,a bit can't catch up with all the lab requirement. wondering if i will make it this semester. probably have to stay till 6 or 7 pm everyday after school. so sad.,i'm not ready to begin another semester. but sooner or later.....,nothing on my mind. glad buying a new mobile phone. but let "
00e29b43fe092b6b93eef3dbc34a22aa,-,-,-,-,-,-,-,"Because  of  You, I  can  smile anytime, God!!  ^_^,My  God came for me....,Spammers....do you know you could die of a curse? -.-,sweet nighty nite  everyone....! =_=,Jesus is the reason for the season!! Take out Christ out of Christmas, you have only mess (mas)!,Confess your sins, not your neighbors...duh,0_0 I came online coz I have insomnia..how come just EVERYONE is online too?!,Jesus did not come to make God's love possible, but to make God's love visible.....Why not try to see it this Christmas?,MERRY CHRISTMAS EVERYONE!!  BEST CHRISTMAS EVA!!  THANKS JESUS!!,If you're ever going through a tough time in life, just remember, all God wants to do is be with you. Not much, eh?,All I have seen teaches me to trust the Creator for all I have not seen....Thanks  Jesus...Christmas was awesome!,The shortest distance between a problem and a solution is the distance between your knees and the floor. The one who kneels to the Lord can stand up to anything! Where is that power of the early Church?,\Dear God, don't le"
00e68daefd5a08081da9c73baa2a493b,-,-,-,-,-,-,-,"phew! home at last. time for a dream i will more than likely never remember.,Stravinsky's Firebird suite, working on some images for a show.,Oscar Wilde says this: One should absorb the color of life, but one should never remember the details. Details are always vulgar. (The Picture of Dorian Gray) i'm intrigued by this idea.,ALL MY FRIENDS who make video or sound should come to the 911 rummage sale tomorrow, even at the risk of making a busy day even busier, you will find cool things. it's 10-5 at 911.,tonight i ate the best beef ever.,working on a mix disc, eating cereal, enjoying the cool / cloud light coming in the window.,turns out i'm still traumatized about swimming from that near drowning event when i was six. my best efforts to overcome it failed. and not even in the rhine, but in the kiddie pool, with children laughing at my ineptitude. what a sad state of affairs. (but then again, it's about par for the course, Re: me VS. physical activity.),working, listening to philip glass.,made an incredibl"
011d369a06778501885ccbb7ba6e02ae,-,-,-,-,-,-,-,"\I would take my last dollar out and bet it on you\,hmmm winter formal=],Blah Blah Blah coming out your mouth w/that Blah Blah Blah!,Hopefully getting my tragus pierced=] if i dnt chicken out=]...Hit me up im bored!  formspring.me/jaycee93,sukkkaaaahh faacccceeee=],I know you know my boyfriend is out of town;So many things I shouldn't be sayin now;but I'll tell you all my secrets if you stick around the 'undercover-lovers'..i just wanna use your love tonight!So go find a shoulder to cry upon cuz u mean nothing to me at all!,&i Have No Care in The World ;D,&im not [perfect];i'm [flawfull] i make [mistakes] that i will regret the next day but i do know thats what makes it all worth it=],\Two Wrongs Don't Make A Right; So i'll Do The Right<3\,DANGGGG !!,February 13th,\Hello Beauftiful,Hows it Going? i Hear its Wonderful in California=]\,\She Ain't Got A Man,But She's Not Alone, Miss Independent,Yea She Got Her Own,Hey Gorgeous,Uhmmm,I Mean Flawless,Well, That's What You Are, How I See It Is How I Call It Yea Loo"
